"index"	"budget"	"keywords"	"original_language"	"title"	"popularity"	"release_date"	"revenue"	"runtime"	"vote_average"	"vote_count"	"genre"	"release_year"	"release_month"	"release_day"	"first_actor"	"first_actor_gender"	"director_first_name"	"director_gender"
2256	0	NA	"en"	"The Oogieloves in the Big Balloon Adventure"	0.28576	2012-08-29	0	88	2.2	8	"Family"	2012	8	29	"Christopher Lloyd"	"male"	"Matthew"	"male"
2473	1.5e+07	"barcelona spain menage a trois author"	"en"	"Vicky Cristina Barcelona"	32.758254	2008-08-15	96408652	96	6.7	1020	"Drama"	2008	8	15	"Scarlett Johansson"	"female"	"Woody"	"male"
1514	3.2e+07	"gunslinger revenge prairie shootout pistol"	"en"	"The Quick and the Dead"	16.473355	1995-02-09	18552460	107	6.3	427	"Action"	1995	2	9	"Sharon Stone"	"female"	"Sam"	"male"
1512	3.2e+07	"robbery double life dual identity small town indiana"	"en"	"A History of Violence"	34.628738	2005-09-23	60740827	96	6.9	832	"Drama"	2005	9	23	"Viggo Mortensen"	"male"	"David"	"male"
395	8.5e+07	"holiday london england film making christmas party country house"	"en"	"The Holiday"	44.967453	2006-12-08	194168700	136	6.7	1225	"Comedy"	2006	12	8	"Cameron Diaz"	"male"	"Nancy"	"female"
3156	0	"1970s human animal relationship australia grief search"	"en"	"Red Dog"	5.499412	2011-08-04	0	92	7.1	83	"Drama"	2011	8	4	"Josh Lucas"	"male"	"Kriv"	NA
4753	60000	"haunted house slasher"	"en"	"Hayride"	0.412342	2012-10-13	0	93	5.1	6	"Thriller"	2012	10	13	"Richard Tyson"	"male"	"Terron"	"male"
4590	0	"kidnapping"	"en"	"Show Me"	0.231297	2004-09-23	0	97	5.6	4	"Drama"	2004	9	23	"Michelle Nolden"	"female"	"Cassandra"	"female"
1665	0	"venice shakespeare jew ship salesperson"	"en"	"The Merchant of Venice"	12.467267	2004-09-03	0	138	6.7	144	"Drama"	2004	9	3	"Al Pacino"	"male"	"Michael"	"male"
2714	1.4e+07	"new york bus nightmare witness investigation"	"en"	"Margaret"	4.898424	2011-09-30	46495	149	6.1	86	"Drama"	2011	9	30	"Anna Paquin"	"female"	"Kenneth"	"male"
259	1.6e+08	"boat cruise computer disaster diamond"	"en"	"Speed 2: Cruise Control"	23.336875	1997-06-13	164508066	121	4.1	434	"Thriller"	1997	6	13	"Sandra Bullock"	"female"	"Jan"	"female"
1819	2.5e+07	"mississippi based on novel exploitation racial segregation racism"	"en"	"The Help"	42.191509	2011-08-09	124272124	146	7.8	1910	"Drama"	2011	8	9	"Emma Stone"	"female"	"Tate"	"male"
1955	2.5e+07	"martial arts kung fu serial killer"	"cn"	"Kung Fu Jungle"	6.895866	2014-10-31	0	100	6.5	114	"Thriller"	2014	10	31	"Donnie Yen"	"male"	"Teddy"	"male"
2023	2.2e+07	"dream employee car crash scientist police officer"	"en"	"The Animal"	13.786075	2001-06-01	84772742	84	4.6	304	"Comedy"	2001	6	1	"Rob Schneider"	"male"	"Luke"	"male"
